mainLabel,subLabel
Macro and Regulatory Policies,Public Administration and Governance
Macro and Regulatory Policies,Taxation/Fiscal Policy
Macro and Regulatory Policies,Trade & Investment Policy
Macro and Regulatory Policies,Business Regulations
Sectoral and Regional Policies,Access to Finance
Sectoral and Regional Policies,MSME/ Entrepreneurship
Sectoral and Regional Policies,Transport/ Logistics
Sectoral and Regional Policies,ICT
Sectoral and Regional Policies,Energy/ Mining
Sectoral and Regional Policies,Irrigation/Water
Sectoral and Regional Policies,Spatial Development
Labor Policies,Labor Regulations
Labor Policies,Public Employment Services
Labor Policies,Wage Subsidies
Labor Policies,Public Works
Labor Policies,Livelihoods/ CDD
Labor Policies,Skills & Training